commodity,price,unit,country_origin,site,Date,screenshot_binary
"Onion Red Onions High Quality China Fresh Red Onion Price
Red Onion",$220.00-$250.00,/ Ton,China,https://www.alibaba.com/product-detail/Onion-Red-Onions-High-Quality-China_60675004338.html,2020-10-16-16h-42m-25s,
Onion Onions Best Red Onion Price Fresh Red Onions,$260.00 ,/ Ton,China,https://www.alibaba.com/product-detail/Onion-Onions-Best-Red-Onion-Price_1600090714295.html?s=p,2020-10-16-16h-42m-25s,
Apple Fresh Fuji Apple / Golden Apple,$10.00-$15.00,/ Carton,China,https://www.alibaba.com/product-detail/Apple-Fresh-Fuji-Apple-Golden-Apple_60512329936.html,2020-10-19-15h-19m-41s,
Apple Cheap Apple Fruit Price Good Taste Fresh Apple With China Supplier,$9.60-$12.00,/ Carton,China,https://www.alibaba.com/product-detail/Apple-Cheap-Apple-Fruit-Price-Good_1600070549441.html?s=p,2020-10-19-15h-19m-41s,
Apple Wholesale Good Quality 2020 Chinese Mature Fresh Red Fuji Apple,$0.86-$1.57,/ Kilogram,China,https://www.alibaba.com/product-detail/Apple-Wholesale-Good-Quality-2020-Chinese_1600100199272.html?s=p,2020-10-19-15h-19m-41s,
new crop fresh fuji apple,$12.00 ,/ Carton,China,https://www.alibaba.com/product-detail/new-crop-fresh-fuji-apple_60702405102.html?s=p,2020-10-19-15h-19m-41s,
IQF Frozen fruit apricot halves 10kg Carton,"$1,200.00 ",/ Ton,China,https://www.alibaba.com/product-detail/IQF-Frozen-fruit-apricot-halves-10kg_60586416797.html,2020-10-21-15h-59m-11s,
Apricots Dry Apricots Dried Top Quality Good Taste China Plant Supplying,"$3,500.00-$5,000.00",/ Ton,China,https://www.alibaba.com/product-detail/Apricots-Dry-Apricots-Dried-Top-Quality_1600092480511.html?s=p,2020-10-21-15h-59m-11s,
IQF Frozen apricot halves,$760.00 ,/ Metric Ton,China,https://www.alibaba.com/product-detail/IQF-Frozen-apricot-halves_62036272949.html?s=p,2020-10-21-15h-59m-11s,
Apricot IQF Apricot Halves With Skin China Supplier,$600.00-$800.00,/ Metric Ton,China,https://www.alibaba.com/product-detail/Apricot-IQF-Apricot-Halves-With-Skin_1600053328453.html?s=p,2020-10-21-15h-59m-11s,
Apricot 2020 Good Quality IQF Frozen Fruits Frozen Apricot Halves Apricot Fruit,"$900.00-$1,000.00",/ Ton,China,https://www.alibaba.com/product-detail/Apricot-2020-Good-Quality-IQF-Frozen_1600109966207.html?s=p,2020-10-21-15h-59m-11s,
Fresh valencia orange / orange fruit from Vietnam - Wholesale for fresh orange / navel orange,$400.00-$500.00,/ Ton,Vietnam,https://www.alibaba.com/product-detail/Fresh-valencia-orange-orange-fruit-from_62016308251.html,2020-10-27-12h-31m-23s,
Oranges ,0.61,US Dollars per Kilogram,Brazil,https://www.indexmundi.com/commodities/?commodity=oranges,2020-10-27-12h-31m-23s,
Orange Juice,117.1,USd/Lbs,,https://tradingeconomics.com/commodity/orange-juice,2020-10-27-12h-31m-23s,
orange(100pcs),2750,/100kg,Pakistan,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=44,2020-10-27-12h-31m-23s,
fruit company china fresh fruit apples,$381.00-$608.00,/ Ton,China,https://www.alibaba.com/product-detail/fruit-company-china-fresh-fruit-apples_1600066379613.html,2020-10-27-13h-49m-43s,
apple (gatcha),13300,/100kg,Pakistan,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=82,2020-10-27-13h-49m-43s,
apple (golden),13300,/100kg,Pakistan,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=40,2020-10-27-13h-49m-43s,
fig,$200.00-$215.00,/ Metric Ton,United Arab Emirates,https://www.alibaba.com/product-detail/fig_1700003359822.html?s=p,2020-11-10-14h-58m-57s,
Figs Figfig AGOLYN Natural Fresh Sweet Sun Dried Figs Fruit,"$5,500.00-$6,500.00",/ Ton,China,https://www.alibaba.com/product-detail/Figs-Figfig-AGOLYN-Natural-Fresh-Sweet_62203989933.html?s=p,2020-11-10-14h-58m-57s,
Figs Fig Fig Dried High Quality Dry Figs Healthy Instant Food Dried Figs Lower Price,$9.40 ,/ Kilogram,China,https://www.alibaba.com/product-detail/Figs-Fig-Fig-Dried-High-Quality_62461128661.html?s=p,2020-11-10-14h-58m-57s,
apple kala kullu (pahari),15800,/100kg,Pakistan,http://www.amis.pk/ViewPrices.aspx?searchType=0&commodityId=39,2021-01-15-12h-38m-22s,
Orange Orangeorange Fresh Orange Navel Orange From China,$0.50-$1.00,/ Kilogram,China,https://www.alibaba.com/product-detail/Orange-Orangeorange-Fresh-Orange-Navel-Orange_1600161872812.html,2021-01-29-16h-48m-50s,
Orange Orangeorange Fresh Orange Navel Orange From China,$0.50-$1.00,/ Kilogram,China,https://www.alibaba.com/product-detail/Orange-Orangeorange-Fresh-Orange-Navel-Orange_1600161872812.html,2021-01-29-16h-48m-50s,
